input,domain_label,intent_label
Search the weather in Rome on Thursday,weather,get weather
make a whatsapp call to Mateo Barrera,calling,create call
Please play ilomilo,music,play music
how much rain is expected in portland next weekend,weather,get weather
What did that message say again?,messaging,get message
Can you please play some Tupac?,music,play music
Are there any lacrosse matches today,event,get event
play the song Happy,music,play music
iheartradio 981 K D D,music,play music
remind me to shop for party stuff on friday,reminder,create reminder
Is Jack currently online?,calling,get availability
Can you use apple cider vinegar in place of vinegar,recipes,is true recipes
Tell me the weather for Chicago on Tuesday,weather,get weather
remind me to call eric back later tonight,reminder,create reminder
Remind me to pick up Makael's medication Friday.,reminder,create reminder
Open reminder for pills at 5 pm,reminder,get reminder
I'd like to call Fernando Damien Sanders,calling,create call
How long till timer goes off,timer,get timer
any contacts online,calling,get availability
Wake me up at 1pm,alarm,create alarm
Is today's weather good for swimming?,weather,get weather
Has Sam worked for Google?,people,get employer
Can you try to call Nick?,calling,create call
When was the last time Luke called me?,calling,get call time
what are the passed laws of this year so far?,news,question news
When is it supposed to get over 80 this week?,weather,get weather
how long do you cook pasta,recipes,get info recipes
I NEED A TIMER DURING THE TASK,timer,create timer
What's happening in Atlanta tomorrow night,event,get event
Is it supposed to rain in New York tonight,weather,get weather
cancel reminder to buy eggs,reminder,delete reminder
set to user unavailable,calling,set unavailable
Count to 2 minutes,timer,create timer
REMIND BRIDGETT TO PLACE HER ORDER BY TUESDAY AT 3PM.,reminder,create reminder
Set alarm for 8pm every Friday,alarm,create alarm
Shut the alarm off,alarm,silence alarm
Who that Kam Muchortow know was born on the 25th of May?,people,get contact
Is there dairy in sorbet,recipes,is true recipes
Show me the hour by hour temperature changes throughout the day,weather,get weather
Alarm for next Tuesday,alarm,create alarm
What are my reminders for Sunday.,reminder,get reminder
set two timers one for seven seconds one for 30 minutes,timer,create timer
Remind to pick up my son's friend for a sleepover,reminder,create reminder
How do I make a perfect over easy egg,recipes,get recipes
Find a recipe for Zucchini lasagna.,recipes,get recipes
Recent news.,news,get stories news
How many songs on this CD?,music,get track info music
how hot is it in hong kong?,weather,get weather
Do I have any friends in Tacoma?,people,get contact
set alarm for 10am Saturday and Sunday,alarm,create alarm
Wake me up at 7 on May 12th.,alarm,create alarm
How many feet of snow are we getting next week?,weather,get weather
Play Money on Pandora,music,play music
Skip this please,music,skip track music
get me my grandpa Yung Marois,calling,create call
Play kids bop music,music,play music
rsvp interested for the third event,event,set rsvp interested
What is the temperature for this weekend?,weather,get weather
Remove Dad from this call,calling,update call
ring child's cell,calling,create call
What type of event is C-ID Night Market?,event,get category event
use amazon for my default,music,set default provider music
Add 5 minutes to the alarm.,alarm,update alarm
Read me the details about the OJ Simpson trial.,news,get stories news
Remind me to sign up for jazz classes.,reminder,create reminder
touch base with Isaiah,calling,create call
What reminders do I have set during my vacation week?,reminder,get reminder
DId anyone video message me on Messenger,messaging,get message contact
i need a complete list of my friends,people,get contact
Has Brad worked for Transcore before,people,get employer
read me a happy story from the news this morning,news,get stories news
Change timer to 2 hours,timer,update timer
Tell Kennedy to send me her location,messaging,send message
Will it be raining on Sunday afternoon at 3pm?,weather,get weather
Update me on the breaking news,news,get stories news
do any friends live in canada?,people,get contact
how do you cook fried rice,recipes,get recipes
when is the timer scheduled to start?,timer,get timer
Delete the alert for my date on Saturday.,reminder,delete reminder
Remind me to head to Tokyo from Osaka October 16.,reminder,create reminder
Give my boyfriend a ring,calling,create call
Anything fun to do on a Wednesday night,event,get event
call Young and Rivera,calling,create call
Set me an alarm at 4PM to call my mum.,alarm,create alarm
What baseball games are coming up Friday,event,get event
Read me some of the headlines from CNN.,news,get stories news
call my Whatsapp contact Nolan,calling,create call
Can you call Paul?,calling,create call
What are the top stories from today,news,get stories news
news update on the winter olympics,news,get stories news
What's the weather like in Branson on September 11?,weather,get weather
tell me availability,calling,get availability
Remind me to mow the lawn Saturday,reminder,create reminder
How long does my timer have left,timer,get timer
is friday to be cloudy,weather,get weather
anything fun happening tomorrow please,event,get event
Set me as available this instant,calling,set available
I need to see my alarms.,alarm,get alarm
I want to call Mary.,calling,create call
Play Say You Won't Let Go.,music,play music
Resume the music.,music,resume music
Tell me if my friend in Chicago is online.,calling,get availability
How do I change my reminders for ballet practice?,reminder,help reminder
Telephone Jo.,calling,create call
call Lia 's mom,calling,create call
I need a recipe for oatmeal cookies,recipes,get recipes
Set alarm for 7am Tuesday morning,alarm,create alarm
Any news on the Supreme Court rulings?,news,get stories news
Send a message to Marsha and Gavin telling them I am planning a surprise party for Parker next week.,messaging,send message
What reminders are set?,reminder,get reminder
Remind me to follow up with Suzie about the newsletter Friday afternoon.,reminder,create reminder
Skip to two minutes into this song.,music,fast forward music
Hang up on Mom.,calling,end call
how old is my nephew Josua,people,get age
Do not play any rap music please,music,remove from playlist music
Schedule alarm for March 21st,alarm,create alarm
reset my alarm,alarm,update alarm
continue with my Meditation ended timer,timer,resume timer
what time are my alarms?,alarm,get alarm
what's the weather tomorrow at cocoa beach,weather,get weather
Another 10 minutes,alarm,snooze alarm
Have Ella and Zachary Fletcher messaged me today,messaging,get message
should I wear a pinafore tomorrow,weather,get weather
Set three alarms for tomorrow: 7am 9 am and 11am,alarm,create alarm
Has my siblings sent me anything,messaging,get message
are we going to have thunderstorms tomorrow?,weather,get weather
sausage pizza recipe,recipes,get recipes
what is my reminder list,reminder,get reminder
How do I make homemade deep dish pizza,recipes,get recipes
leave and go to new call,calling,switch call
What is the name of Pink's last album.,music,question music
How many countries are a part of the travel ban,news,question news
is there cream cheese in cheesecake,recipes,is true recipes
What is the name of this album,music,get track info music
set my status as not going for C-ID Night Market,event,set rsvp no
Ask my vet what time the cat's check up is on Friday,messaging,send message
Concerts in New York this week,event,get event
try to call Kerry lara,calling,create call
switch on alarm for 10:00 AM,alarm,create alarm
What is the weather like in Japan right now?,weather,get weather
Repeat this song one more time,music,replay music
i want you to start recording a video message for Amelia,messaging,send message
Will you send a message to Sean and ask him where the party is at tomorrow night?,messaging,send message
Cancel my reminder to buy toilet paper.,reminder,delete reminder
Alexa remind me this weekend that I have to delete spam emails from my email box.,reminder,create reminder
Remind me to call Dr. Salomn to reschedule appointment.,reminder,create reminder
Set alarm for 7am tomorrow.,alarm,create alarm
would you make an alarm for 5 minutes from now,alarm,create alarm
What is the forecast next week in Arizona?,weather,get weather
Can you add 10 minutes to my current timer?,timer,add time timer
Anything in San Francisco this weekend,event,get event
Dial stepsibling's number,calling,create call
Please set alarm for 8am Saturday,alarm,create alarm
Remind me to schedule an appointment,reminder,create reminder
Temperature tomorrow morning Fahrenheit,weather,get weather
I am trying to find out who Jerry is,people,get contact
what is the newest celebrity news,news,get stories news
create a playlist: Christian Mix,music,create playlist music
Start a new timer,timer,create timer
All the missed calls from Tony were at what time on Sunday?,calling,get call time
ring my mom,calling,create call
Send a message to Kevin asking if he has heard from my husband.,messaging,send message
i need to talk to my sisters please call him right now,calling,create call
Put on some alternative music,music,play music
What are the headlines for today's news,news,get stories news
Who is Adam?,people,get info contact
Can you replay the last song,music,previous track music
call Fiona Horn with Messenger please,calling,create call
Anyone I know who went to Tacoma Community College,people,get contact
text Matthew and Helen that are you free,messaging,send message
set my status as not going for the third event,event,set rsvp no
Remove reminder for my 6pm dinner date with Grace on Saturday.,reminder,delete reminder
Message Jen and ask if she has plans for this weekend.,messaging,send message
Remind me about my lunch at noon today.,reminder,create reminder
I need to add someone to this call,calling,update call
What's the weather in Amsterdam?,weather,get weather
Tell me when The Handmade & Reclaimed Market begins,event,get date time event
Tell me about things to do in Atlanta on New year's Eve,event,get event
What's the weather like out there?,weather,get weather
I need you to send that video message on Facebook,messaging,send message
add 3 and a half minutes to timer,timer,add time timer
call Staci Okeke 's grandfather,calling,create call
Create a playlist with my rock songs,music,create playlist music
Add 1 more minute to the timer,timer,add time timer
I want a call with Phillip Leonard and Kody Frye on Slack,calling,create call
Set an alarm clock for 4th of huly,alarm,create alarm
Set an alarm for every 4 hours,alarm,create alarm
Remind me to go to doctor tomorrow,reminder,create reminder
Which articles are related to this article,news,get details news
how many cups of water do you put in brownies,recipes,get info recipes
sound alarm at 2110,alarm,create alarm
set an alarm for 5am named get up,alarm,create alarm
How to cook a ham,recipes,get recipes
Things to do in Maui,event,get event
Is anybody I know working at Arby's?,people,get contact
put up a timer for one hour and one for 60 seconds,timer,create timer
How high will it get,weather,get weather
What time is the tropical storm scheduled to reach Florida?,weather,get weather
What is the ideal temperature for medium rare beef,recipes,get info recipes
When is the next severe weather outbreak anticipated?,weather,get weather
how long do i broil a steak for medium rare,recipes,get info recipes
read all of the reminders i have set up for this week,reminder,get reminder
should i bring a jacket,weather,get weather
Record video message for Stolarz Irmgard,messaging,send message
Tell me all about Kady please,people,get info contact
can you call Hudson Garza using WhatsApp,calling,create call
Remind me to update my website on Friday.,reminder,create reminder
End current video-call,calling,end call
Make a new alarm for tomorrow evening.,alarm,create alarm
What are this morning's headlines?,news,get stories news
how to bake a dome shaped cake,recipes,get recipes
What degree did Jeff graduate with at Clemson?,people,get education degree
name of album,music,get track info music
please switch availability on,calling,set available
dial camille,calling,create call
skip the song please,music,skip track music
Remind me to sign permission slip,reminder,create reminder
video call Austin Angelica,calling,create call
I want a reminder to mail out those birthday cards next week.,reminder,create reminder
message laurie that i am on the ferry and will be 20 minutes late,messaging,send message
"Initiate call with my friends Marissa, Jakob, Rachel, and Ross on Discord",calling,create call
Delete the reminder about Thanksgiving at gary's house,reminder,delete reminder
call Athena Sims with WhatsApp,calling,create call
Remind me to wash the car on Saturday,reminder,create reminder
Show me chili recipes,recipes,get recipes
Play hip hop music.,music,play music
Will it rain on Saturday?,weather,get weather
how long do i bake biscuits,recipes,get info recipes
Make me unavailable online,calling,set unavailable
I would like to send the WhatsApp text,messaging,send message
Set a pizza timer for 17 minutes.,timer,create timer
Send a picture of me,messaging,send message
how many carbs is in capellini primavera,recipes,get info recipes
I'm no longer interested in Gardening for Biodiversity in a Climate Crisis,event,set rsvp no
Rewind ten seconds.,music,rewind music
set alarm for Saturday at 8 am,alarm,create alarm
WhatsApp call to Reid Riddle,calling,create call
Please remove Steven Jackson from the call,calling,update call
reply to Enzo with a video message,messaging,send message
can you set a timer for 5 minutes please,timer,create timer
What profession was Steve Jobs in?,people,get job
Bring up list of all alarms,alarm,get alarm
details about trumps latest press conference,news,get stories news
call my Whatsapp contact Finn Crawford,calling,create call
call Lillian Christian from my Whatsapp contacts,calling,create call
How long does a roast have to stay in the oven,recipes,get info recipes
Please call grandfathers,calling,create call
Play Michael Jackson music,music,play music
message my friends and family that the surprise party will be on July 25th at 2pm,messaging,send message
"start a call with Braeden Key, Gabriela Gibson, Joy Buchanan and Damien on Messenger",calling,create call
play Live Your Life (feat. Rihanna) on iHeartRadio,music,play music
What is the headlining news today?,news,get stories news
ping Regina,calling,create call
tell me who works at Arlington Toyota,people,get contact
Send that theater event to Bailey,event,share event
change it to video call please,calling,update method call
Recipes for teriyaki chicken,recipes,get recipes
Please play Imagine Dragons.,music,play music
How much water goes in smoothie,recipes,get info recipes
Remove my payday reminders for last month,reminder,delete reminder
call ended,calling,end call
how much fat is in Olive Oil,recipes,get info recipes
Subtract 15 minutes from my timer,timer,subtract time timer
Anything to do next week,event,get event
can you give me Berts address,people,get location
Football news,news,get stories news
What's the weather like for the next week?,weather,get weather
How many degrees is it using Kelvin,weather,get weather
What is the weather like in Alabama?,weather,get weather
Pause the alarm please,alarm,snooze alarm
how much time is left before my alarm goes off?,alarm,get alarm
make a timer for 1628 seconds and one for 30 minutes,timer,create timer
Any travel delay news today?,news,get stories news
How much milk do I need to make banana pudding,recipes,get info recipes
What time did Sam videochat with me yesterday?,calling,get call time
Can you tell me tomorrow's forecast in Melbourne please?,weather,get weather
Play some reggae.,music,play music
Give me the forecast for Belfast,weather,get weather
Call my sister,calling,create call
video message Sawyer,messaging,send message
What are the headlines in international news?,news,get stories news
please reject this call,calling,ignore call
Give me Germany weekly news,news,get stories news
When did Ben start to work for Subway?,people,get employment time
What's the top stories on WTAE?,news,get stories news
Is it going to be around 60 in degree celcius chicago,weather,get weather
Update my alarm to 6pm on Friday.,alarm,update alarm
Set 60 minutes for running.,timer,create timer
how much hot sauce should I use for this chicken wing recipe,recipes,get info recipes
What will the weather be like next Friday?,weather,get weather
How humid is it going to be today?,weather,get weather
How to prevent cheesecake cracks,recipes,get info recipes
Start me a half hour timer,timer,create timer
set my status as going to that event,event,set rsvp yes
display video messages from my girlfriend Karter,messaging,get message
reply to Adam with a video message,messaging,send message
How hot does Los Angeles get in September?,weather,get weather
who is this by,music,get track info music
Set an alarm for 10:30am tomorrow.,alarm,create alarm
National news headlines,news,get stories news
Is Jonathan still working at the Apple Store?,people,get employer
can I bake bread in an instant pot,recipes,is true recipes
Hold my call with Jennifer.,calling,hold call
does joe work at olive garden?,people,get employer
Are there dinner reminders for next week,reminder,get reminder
What's the warmest day this week?,weather,get weather
what is the temperature forecast for today/,weather,get weather
play me some country music,music,play music
Call grandmothers.,calling,create call
Ring dad,calling,create call
Send a note to Mandy that I hope she will go to the Wednesday night concert with me tonight at the Regional Park.,messaging,send message
"Got a call, turn it down",calling,ignore call
Show me Tim's home address?,people,get location
show me my timer called french press,timer,get timer
Art shows in San Francisco for tomorrow,event,get event
can you dial Mila on WhatsApp,calling,create call
is it really hot today?,weather,get weather
what is the weather like in Charlotte,weather,get weather
Can you set my workout timer?,timer,create timer
How warm is it around San Francisco in degree c,weather,get weather
Find ukulele solos.,music,play music
What temperature do I bake a pizza at,recipes,get info recipes
Delete the reminder about the book club,reminder,delete reminder
Bring up local News on Central Florida,news,get stories news
Typical weather for Ohio,weather,get weather
Let me know what the weather is like.,weather,get weather
Start a timer in one minute for 5 minutes,timer,create timer
call Samuel X,calling,create call
What can I do this Saturday,event,get event
please send reminders to all in the warehouse group about the upcoming meeting,reminder,create reminder
Modify alarm name to bake cake,alarm,update alarm
is oil or margarine healthier,recipes,get info recipes
is Bill still employed at citizen's bank,people,get employer
stop the timer,timer,pause timer
Organize a group call,calling,create call
Set an alarm for 30 minutes from now,alarm,create alarm
Who is the most decorated Olympic athlete?,people,get contact
"Weather in Texas, please.",weather,get weather
Set an alarm for the the 7th of June,alarm,create alarm
Show me all the alarms I have created,alarm,get alarm
start playing Stoney,music,play music
please send Ted the WhatsApp message,messaging,send message
What is tomorrow mornings weather?,weather,get weather
Read me cnn's latest news,news,get stories news
turn off my reminder to buy orange juice,reminder,delete reminder
Remind me to pay rent Wednesday,reminder,create reminder
Tell me some local news headlines,news,get stories news
is a vest recommended,weather,get weather
call Keila Sun 's son,calling,create call
Is it going to snow Wednesday night?,weather,get weather
Remind me to go buy milk tonight at 9:00 pm,reminder,create reminder
Create a reminder at 10pm to go to sleep.,reminder,create reminder
Any recent news on Angelina Jolie and Brad Pitt's divorce?,news,get stories news
What is the most recent local news?,news,get stories news
set an alarm for snack time,alarm,create alarm
ping Phillip,calling,create call
Show me where my lunch reminder is for ..,reminder,get reminder location
send Jake a Facebook text,messaging,send message
Can you make an alarm for the 22nd of March at 5 in the morning,alarm,create alarm
What are good high protein foods,recipes,get recipes
read me the top news stories,news,get stories news
how long should i boil corn on the cob,recipes,get info recipes
How about making a video message to send to Mandy?,messaging,send message
Repeat my timer,timer,restart timer
How many of my friends went to Columbia University,people,get contact
snooze my alarm for 10 minutes,alarm,snooze alarm
Make a call to Steve,calling,create call
Is Joan 90,people,get age
message Vicky saying thank you for the help that you did today,messaging,send message
"Add mom to this call, please",calling,update call
resume my Laundry timer,timer,resume timer
Timer Time,timer,get timer
What is the song called,music,get track info music
Set reminder for doctors appointment may 9,reminder,create reminder
Did my grandson message me this week?,messaging,get message
Do I have a friend that works in Los Angeles?,people,get contact
do not bother me,calling,set unavailable
Start video chat,calling,create call
Add another 5 minutes,timer,add time timer
Would you call with Breanna and Jarrett Carter on Whatsapp,calling,create call
How do I cook fried rice,recipes,get recipes
Is anyone on hand,calling,get availability
I want to listen to a 90's playlist,music,play music
how about that forecast,weather,get weather
Is Aaron a friend of Lili?,people,get info contact
call Javier Ponce whatsapp video,calling,create call
what the humidity like in florida today?,weather,get weather
give me my news headlines,news,get stories news
what's the top story for today?,news,get stories news
send video message via WhatsApp,messaging,send message
When did Sam get his diploma?,people,get education time
is it going to rain tomorrow morning,weather,get weather
Delete my cooking timer.,timer,delete timer
make a whatsapp call to Raegan,calling,create call
call Kim right away,calling,create call
I need you to call Mr Brown,calling,create call
Hold the line.,calling,hold call
add my stepparents to this call,calling,update call
play Kanye West,music,play music
Is it true that John lives in Houston?,people,get location
Message Rhonda Ask her details about Vacation Bible School in July,messaging,send message
Has Scott's address changed,people,get location
Do I need to defrost chicken before putting it in the crock pot,recipes,is true recipes
who does Wallace work for?,people,get employer
how many reminders do I have next week?,reminder,get reminder amount
Who works at Twitch?,people,get contact
create a go to bed alarm for 9pm tonight,alarm,create alarm
how hot will it be today,weather,get weather
Delete the reminder for Emily's date on Saturday.,reminder,delete reminder
What ingredients are in a latte,recipes,get info recipes
play Free Fallin' on iHeartRadio,music,play music
Please can you make an alarm for tomorrow morning,alarm,create alarm
Turn to the pop channel on google play music,music,play music
Display my alarms,alarm,get alarm
how do you make salsa,recipes,get recipes
Change to new timer,timer,update timer
How cold is it at Beijing in degree fahrenheit,weather,get weather
Please give me details about Donald Trump newest member in the White House.,news,get stories news
Things to do in Atlanta next Friday Evening,event,get event
set alarm for Monday 6 am,alarm,create alarm
Is Jack currently available to call?,calling,get availability
friends of my son,people,get contact
set up daily alarm for 9AM,alarm,create alarm
rsvp yes to TEDxSeattle,event,set rsvp yes
"Im finished with video calling, switch back to audio",calling,update method call
What is the current breaking news story about,news,get stories news
I need to call my grandma on Sunday set reminder for 9am,reminder,create reminder
List all V. Cadle spouses birthdays,people,get contact
Can you end current call with Eric,calling,end call
make a whatsapp call to Tanner Atkinson,calling,create call
respond to Joy with a video message,messaging,send message
is it raining tonight,weather,get weather
Cancel my reminder to pay Lorraine.,reminder,delete reminder
Is something fun happening this weekend,event,get event
how to make street tacos,recipes,get recipes
reply to Catherine with a video message,messaging,send message
Message out to Jennie and Candy that the Rock and Roll dance off is taking place this Friday,messaging,send message
How many reminders do I have set up?,reminder,get reminder amount
I'd like to call James Oconnor Silva,calling,create call
will it snow in nashville today,weather,get weather
Snooze my alarm for another 5 minutes please,alarm,snooze alarm
Events in New York this weekend,event,get event
Pause activity,timer,pause timer
Send a message to my client letting her know i am running late,messaging,send message
Set my alarm for minute from now,alarm,create alarm
What is the latest news on Donald Trump?,news,get stories news
show me Alice's friends,people,get contact
what is the wind speed at,weather,get weather
When did I get the call from Tracey,calling,get call time
do I fry the chicken first or put it in the oven,recipes,get info recipes
Switch my reminder for laundry to Saturday,reminder,update reminder date time
Give me a news update?,news,get stories news
Can I listen to Chris Brown?,music,play music
what's yesterday's headlines?,news,get stories news
Repeat the last song immediately,music,previous track music
call Lorelei Weyers facetime,calling,create call
any good parties this weekend in hollywood,event,get event
I want to listen to classic rock.,music,play music
send Beth and Paul,messaging,send message
How many minutes until the timer beeps?,timer,get timer
Update to available,calling,set available
Remind me to buy cat food tomorrow,reminder,create reminder
Did Sean graduate?,people,get education degree
Can you get events I'm invited to?,event,get event
would you resume my Pasta timer,timer,resume timer
call self,calling,create call
I need a timer set for 10 minutes.,timer,create timer
I wanna text Julianna and tell her I am awake and here to help,messaging,send message
any new headlines,news,get stories news
remind me to change the time for time change,reminder,create reminder
Open up my romantic playlist.,music,play music
Things to do in Venice Beach today,event,get event
"I have reserved tickets for Superstar Rajnikanth's new movie, for Saturday, September 1st, and I want you to remind me about it.",reminder,create reminder
how do you cook eggs benedict,recipes,get recipes
news updates from california,news,get stories news
what is happening in miami tomorrow,event,get event
I am currently unavailable.,calling,set unavailable
Call Mayra.,calling,create call
Check the weather for 6pm,weather,get weather
call up the grandpa of Luke Burgess,calling,create call
Call Apostle Buameh,calling,create call
open iheart radio and play midnight on shuffle,music,start shuffle music
make an alarm for Wednesday,alarm,create alarm
Remind me to do my laundry at 7:00 pm this evening.,reminder,create reminder
can i listen to the latest song by Pink,music,play music
Please Call Grandma.,calling,create call
Tell me who is online,calling,get availability
I need you to find Mateo for me,people,get contact
How many people do I know in Philadelphia?,people,get contact
"Remind me to set up a conference call between me, Sharon and Ian this Wednesday at 11am.",reminder,create reminder
How much fiber is in spinach?,recipes,get info recipes
Will the temperature hit the triple digits this week,weather,get weather
How long should I cook my pasta,recipes,get info recipes
skip alarm,alarm,silence alarm
Please add Sebastiano to this call,calling,update call
turn off the music,music,stop music
What is the temperature going to be at 9am tomorrow,weather,get weather
Any sports events happening today,event,get event
start a call with Jesus Leonard's grandma Jeremiah,calling,create call
dial uncle,calling,create call
how long to you cook fish for,recipes,get info recipes
ask Martha what date the June Gloom concert is happening,messaging,send message
Set a reminder for me to pick up a suit at 11 am tomorrow,reminder,create reminder
play Xzibit on iheartradio,music,play music
remove the reminders for work alarms,reminder,delete reminder
"Which is better to cook eggs, milk or cream?",recipes,get info recipes
Play Diplo.,music,play music
text Kylie Davis and Sam that talk to you later,messaging,send message
What is the temperature today in Dallas?,weather,get weather
Music events in Fan Jose tomorrow,event,get event
Tell me who works at MEI,people,get contact
latest football news,news,get stories news
Is it supposed to drizzle today?,weather,get weather
text my sister and ask what her ETA is,messaging,send message
Quit it,alarm,silence alarm
What is the ingredient list for Parmesan chicken,recipes,get info recipes
Find three ingredient recipes,recipes,get recipes
Is it going to frost tonight,weather,get weather
What is the temperature average for this month?,weather,get weather
What's the weather like in Queensland?,weather,get weather
call my father please,calling,create call
put up a timer for 19 minutes and a second for two and three quarters hours,timer,create timer
What is my timer status?,timer,get timer
Call uncle at home,calling,create call
"For timer, set it to go off in 30 minutes",timer,create timer
recent movie news,news,get stories news
how do you pan sear a chicken breast,recipes,get info recipes
Remover the reminder for the post office box renewal,reminder,delete reminder
Please set up a repeating alarm at 5pm on Fridays.,alarm,create alarm
What are the top 5 news headlines?,news,get stories news
Find me a fun cookie recipe that's easy to make,recipes,get recipes
find music for kids,music,play music
i want to listen to some 90s music,music,play music
is bruschetta bread toasted,recipes,is true recipes
Delete reminder to buy cereal,reminder,delete reminder
Set a afternoon alarm for 3 pm,alarm,create alarm
Set alarm for tomorrow afternoon at 3pm,alarm,create alarm
What sports match can I go to in February,event,get event
I want an alarm for 2pm.,alarm,create alarm
please record a video message for Filby and Stephanie,messaging,send message
Ask mom to answer her phone,messaging,send message
Don't play any songs with parental advisories,music,remove from playlist music
remind me about the meeting on monday at 5 am,reminder,create reminder
Show me the weather for next Monday and Tuesday,weather,get weather
How long should steak rest before eating it,recipes,get info recipes
Tell me Mary's current address,people,get location
What is the breaking news for New York,news,get stories news
Find Zac Brown Band's latest album,music,play music
Will it be cold enough to wear a jacket in California during Christmas?,weather,get weather
Play top country songs of all time.,music,play music
children's songs,music,play music
Set alarm 30 minutes from now.,alarm,create alarm
on whatsapp call Hayden Gardner,calling,create call
Is it raining by my office,weather,get weather
find reminder to take car for maintenance,reminder,get reminder
reply to the groomsmen group with video message,messaging,send message
set time number 5 for 30 mins,timer,create timer
Tell me who is online that I know.,calling,get availability
reply to the church leader chat with text,messaging,send message
I'm looking for a pesto recipe,recipes,get recipes
Does Liz live in New York city,people,get location
Ask mom when the pool party starts tomorrow.,messaging,send message
Who is the lead singer of this band.,music,get track info music
Message my spouse to meet me at the church,messaging,send message
what is the traditional food recipe of mexico,recipes,get recipes
what ingredients are in shortbread,recipes,get info recipes
play r and b music,music,play music
Start the second timer,timer,create timer
update reminder set for Aug 30th from 7 am to 8 am.,reminder,update reminder date time
Does Larry live in San Leandro?,people,get location
call Sydney Roth instead,calling,create call
call Suarez and Davis,calling,create call
How to do you cook chicken queso casserole,recipes,get recipes
When will Michelle turn 50?,people,get age
play jay z,music,play music
Which of Vachon stepsisters were born on the 19th?,people,get contact
Set a timer for 6 hours.,timer,create timer
Play some old Janet jackson songs,music,play music
Video conference with my boss.,calling,create call
what is the breaking news on ABC?,news,get stories news
What's the wind chill factor in Chicago?,weather,get weather
tell me the breaking news,news,get stories news
WHEN IS IT EXPECTED TO RAIN NEXT?,weather,get weather
put Satapana on this call too,calling,update call
can you give me more details about dead stuck whale to bow of princess cruise ship,news,get details news
give me a seven day forecast,weather,get weather
SHOW WHO IS AVAILABLE CURRENTLY,calling,get availability
Do I have to use butter,recipes,is true recipes
how do you make a flan,recipes,get recipes
Where did Adele go to college?,people,get undergrad
when is tornado season in Florida?,weather,get weather
when is the winter coming in the city,weather,get weather
What is al dente,recipes,get info recipes
Set a bed alarm for 2am,alarm,create alarm
play the 2022 Last Week Tonight With John Oliver,music,play music
call Elise 's father,calling,create call
can you please send message to Brieanna and Matthew,messaging,send message
Set a reminder to pick up seed at 10am Thursday.,reminder,create reminder
Open my Spotify playlists,music,play music
update timer,timer,update timer
I wanna know the news,news,get stories news
How much time is left on second timer?,timer,get timer
let malla know that pugapalooza is on sunday,messaging,send message
US Immigration news,news,get stories news
How many degrees in Thailand?,weather,get weather
